url,title,description,organization,tags,formats,last_updated,license,resources
https://data.gov.hk/en-datasets/category/city-management,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/climate-and-weather,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/commerce-and-industry,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/social-welfare,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/development,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/education,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/legislature,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/employment-and-labour,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/environment,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/finance,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/food,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/health,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/housing,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/law-and-security,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/population,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/recreation-and-culture,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/information-technology-and-broadcasting,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/tourism,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/transport,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/category/miscellaneous,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
https://data.gov.hk/en-datasets/,Datasets,DATA.GOV.HK is coordinated by the Digital Policy Office with the participation of different government departments and public / private organisations to disseminate various types of open data for free re-use for both commercial and non-commercial purposes subject to the Terms and Conditions of Use as published on DATA.GOV.HK and related websites.,Hong Kong Observatory,,[],,,https://data.gov.hk/filestore/feeds/data_rss_en.xml (xml); Subscribe RSS (xml); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); Download Queue (unknown); API Specification (unknown); CKAN API Development Guide (unknown); API Specification (unknown); CKAN API Development Guide (unknown)
